Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RGO_education_0;Local Development 0%;;;;;;;;;;;;;
RGO_education_1;Local Development 10%;;;;;;;;;;;;;
RGO_education_2;Local Development 20%;;;;;;;;;;;;;
RGO_education_3;Local Development 30%;;;;;;;;;;;;;
RGO_education_4;Local Development 40%;;;;;;;;;;;;;
RGO_education_5;Local Development 50%;;;;;;;;;;;;;
RGO_education_6;Local Development 60%;;;;;;;;;;;;;
RGO_education_7;Local Development 70%;;;;;;;;;;;;;
RGO_education_8;Local Development 80%;;;;;;;;;;;;;
RGO_education_9;Local Development 90%;;;;;;;;;;;;;
RGO_education_10;Local Development 100%;;;;;;;;;;;;;
MODIFIER_EDUCATION_EFFICIENCY;Education Speed;Efficacit? de l'・ducation;Bildungseffizienz;;;;;;;;;;;
EDU_EFF_TECH;Education Speed Modifier;Efficacit??ucative;Bildungseff.;;Efi. educativa;;;;;;;;;
rich_unrest_5;Unrest among the Upper Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_unrest_5_desc;The Rich Strata of our country is furious at our recent actions;;;;;;;;;;;;;
rich_unrest_4;Unrest among the Upper Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_unrest_4_desc;The Rich Strata of our country is furious at our recent actions;;;;;;;;;;;;;
rich_unrest_3;Unrest among the Upper Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_unrest_3_desc;The Rich Strata of our country is furious at our recent actions;;;;;;;;;;;;;
rich_unrest_2;Unrest among the Upper Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_unrest_2_desc;The Rich Strata of our country is furious at our recent actions;;;;;;;;;;;;;
rich_unrest_1;Unrest among the Upper Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_unrest_1_desc;The Rich Strata of our country is furious at our recent actions;;;;;;;;;;;;;
middle_class_unrest_5;Unrest among the Middle Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_class_unrest_5_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;
middle_class_unrest_4;Unrest among the Middle Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_class_unrest_4_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;
middle_class_unrest_3;Unrest among the Middle Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_class_unrest_3_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;
middle_class_unrest_2;Unrest among the Middle Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_class_unrest_2_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;
middle_class_unrest_1;Unrest among the Middle Class;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_class_unrest_1_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;
lower_class_unrest_5;Unrest among the Lower Classes;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
lower_class_unrest_5_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
lower_class_unrest_4;Unrest among the Lower Classes;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
lower_class_unrest_4_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
lower_class_unrest_3;Unrest among the Lower Classes;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
lower_class_unrest_3_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
lower_class_unrest_2;Unrest among the Lower Classes;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
lower_class_unrest_2_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
lower_class_unrest_1;Unrest among the Lower Classes;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
lower_class_unrest_1_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
rich_development_1;Low living conditions - Upper Class II;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_2;Low living conditions - Upper Class I;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_3;Good living conditions - Upper Class I;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_4;Good living conditions - Upper Class II;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_5;Good living conditions - Upper Class III;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_6;Good living conditions - Upper Class IV;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
