Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
adopt_steppe_warfare_title;§GAdopt Steppe Warfare §!;;;;;;;;;;;;;
adopt_steppe_warfare_desc;The Steppe hordes have been a scourge upon this world for too long: raping, pillaging, razing as they please. In the face of such brutality, how can we survive? By adopting the tactics that they have used against us so maliciously. Spare no Mongol from God's righteous wrath which he hath inflicted upon himself.\n\n§RYour armies have access to Steppe Warfare in combat and can benefit from inventions related to Steppe Warfare.\n§RYou are locked out of accessing Steppe Defense invention.;;;;;;;;;;;;;
adopt_steppe_defense_title;§GAdapt Defensive Tactics to Steppe Warfare §!;;;;;;;;;;;;;
adopt_steppe_defense_desc;Our armies first-hand have experienced Steppe tactics and the devastation that battling Steppe armies without proper strategy can inflict. To avoid future defeats, we should use our battle experience to employ a proper counter-strategy to Steppe warfare.\n\n§RYour armies will have access to Steppe Defense in combat.\n§RYou are locked out of accessing Steppe Warfare invention and any related benefits.;;;;;;;;;;;;;
enable_mercenary_hiring_title;Enable Mercenary Options;;;;;;;;;;;;;
enable_mercenary_hiring_desc;Enable the menu to view mercenary options.;;;;;;;;;;;;;
disable_mercenary_hiring_title;Disable Mercenary Options;;;;;;;;;;;;;
disable_mercenary_hiring_desc;Disable the menu to view mercenary options.;;;;;;;;;;;;;
hire_mercenary_company1_title;Employ Company of Routiers;;;;;;;;;;;;;
hire_mercenary_company1_desc;Employ a company of French Routiers.;;;;;;;;;;;;;
hire_mercenary_company2_title;Employ the Catalan Company;;;;;;;;;;;;;
hire_mercenary_company2_desc;Employ the service of the famed Catalan Company.;;;;;;;;;;;;;
hire_mercenary_company3_title;Employ Company of Guelph Condottiero;;;;;;;;;;;;;
hire_mercenary_company3_desc;Employ a company of Guelph Condottiero, fiercely against the Emperor.;;;;;;;;;;;;;
hire_mercenary_company4_title;Employ Company of Ghibelline Condottiero;;;;;;;;;;;;;
hire_mercenary_company4_desc;Employ a company of Ghibelline Condottiero, loyal to the Emperor.;;;;;;;;;;;;;
hire_mercenary_company5_title;Employ Company of Landsknechte;;;;;;;;;;;;;
hire_mercenary_company5_desc;Employ a company of German Landsknechte.;;;;;;;;;;;;;
