Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
MAY_GAS_ATTACK;Unlocks Steppe Warfare;;;;;;;;;;;;;
MAY_GAS_DEFEND;Can defend against Steppe Warfare;;;;;;;;;;;;;
gas_attack;Steppe Warfare;;;;;;;;;;;;;
gas;Steppe Warfare;Steppe Warfare;Steppe Warfare;;Steppe Warfare;;;;;;;;x;;;
COMBAT_GAS;Mobile Steppe armies employing hit-and-run tactics and feigned retreats while the opponent lacks the experience to defend against them may be devastating.;;;;;;;;;;;x
tank;Crossbowmen;;;;;;;;;;;;;
infantry;Militia;;;;;;;;;;;;;
regular;Infantry;;;;;;;;;;;;;
handgunner;Handgunner;;;;;;;;;;;;;
cannon;Bombard;;;;;;;;;;;;;
bowmen;Archers;;;;;;;;;;;;;
engineer;Mangonel;;;;;;;;;;;;;
plane;Men-at-Arms;;;;;;;;;;;;;
irregular;Levy;;;;;;;;;;;;;
cuirassier;Heavy Cavalry;;;;;;;;;;;;;
dragoon;Mounted Archer;;;;;;;;;;;;;
hussar;War Elephant;;;;;;;;;;;;;
guard;Pikemen;;;;;;;;;;;;;
infantry_arms;Infantry Arms;;;;;;;;;;;;;
crossbows;Crossbows;;;;;;;;;;;;;
artillery;Bows;;;;;;;;;;;;;
canned_food;Military Rations;;;;;;;;;;;;;
siege_engines;Siege Engines;;;;;;;;;;;;;
bombards;Bombards;;;;;;;;;;;;;
stone;Stone;;;;;;;;;;;;;
oil;Silver;;;;;;;;;;;;;
precious_metal;Gold;;;;;;;;;;;;;
steel;Hardwood;;;;;;;;;;;;;
cement;Stone Bricks;;;;;;;;;;;;;
machine_parts;Smithing Tools;;;;;;;;;;;;;
naval_supplies;Naval Supplies;;;;;;;;;;;;;
tar;Tar;;;;;;;;;;;;;
salt;Salt;;;;;;;;;;;;;
chinaware;Chinaware;;;;;;;;;;;;;
luxury_furniture;Rugs;;;;;;;;;;;;;
sulphur;Saltpeter;;;;;;;;;;;;;
tin;Tin;x
leather;Leather;x
incense;Incense;x
apiculture;Apiculture;x
furs;Furs;x
spices;Spices;x
sugar;Sugar;x
horses;Horses;x
elephants;Elephants;x
commerce_tech;Commerce;;;;;;;;;;;;;
industry_tech;Agriculture;;;;;;;;;;;;;
railroad;Infrastructure;x
university;University;;x
bank;Bank;x
fort;Castle;x
fertilizer_factory;Manure Fields;x
glass_factory;Glassworks Guild;x
cement_factory;Brick Foundry;x
leather_tannery;Leather Tannery;x
wool_fabric_factory;Wool Weavery;x
fabric_factory;Fabric Weavery;x
lumber_mill;Lumber Mill;x
winery;Winery;x
liquor_distillery;Liquor Distillery;x
dye_factory;Dyeworks;x
canned_food_factory;Military Rations Workshop;x
infantry_arms_weaponsmith;Armourer Workshop;x
explosives_factory;Gunpowder Workshop;x
regular_clothes_factory;Clothworkers Guild;x
paper_mill;Paper Mill;x
furniture_factory;Furniture Workshop;x
barding_weaponsmith;Barding Workshop;x
crossbow_weaponsmith;Crossbow Guild;x
artillery_factory;Bowyer Guild;x
steel_factory;Hardwood Mill;x
luxury_furniture_factory;Rug Weavery;x
luxury_clothes_factory;Luxury Clothworkers Guild;x
clipper_shipyard;Cog Workshop;x
steamer_shipyard;Hulk Workshop;x
naval_supplies_workshop;Naval Supplies Workshop;x
charcoal_burner;Charcoal Burner;x
machine_parts_factory;Smithing Tools Workshop;x
tar_workshop;Tar Kiln;x
siege_engine_workshop;Siege Engine Workshop;x
bombard_foundry;Bombard Foundry;x
tyrolean;High Bavarian;x
alemannic;Alemannic;;x
arpitan;Arpitan;x
provencal;Provencal;x
burgundian;Burgundian;x
auvergnat;Auvergnat;x
gascon;Gascon;x
poitevin;Poitevin;x
angevin;Angevin;x
norman;Norman;x
champenois;Champenois;x
limousin;Limousin;x
english;English;x
anglo_norman;Anglo-Norman;x
cornish;Cornish;x
welsh;Welsh;x
cambro_norman;Cambro-Norman;x
hiberno_norman;Hiberno-Norman;x
scottish;Scottish;x
norse_gael;Norse-Gael;x
highlander;Highlander;x
lorrain;Lorrain;x
frisian;Frisian;x
galician;Galician;x
asturleonese;Asturleonese;x
aragonese;Aragonese;x
mozarabic;Mozarab;x
algaravian;Andalusi;x
thuringian;Thuringian;x
central_franconian;Middle Franconian;x
upper_franconian;High Franconian;x
upper_saxon;High Saxon;x
pommeranian;Pomeranian;x
kashubian;Kashubian;x
silesian;Silesian;x
tuscan;Tuscan;x
sardinian;Sardinian;x
sicilian_arab;Siculo-Arab;x
griko;Griko;x
sicilian;Sicilian;x
central_italian;Italian;x
romagnan;Romagnan;x
emilian;Emilian;
ligurian;Ligurian;x
piedmontese;Piedmontese;x
venetian;Venetian;x
dalmatian;Dalmatian;x
slavonian;Slavonian;x
turkish;Turkoman;x 
south_german;Bavarian;x 
north_german;Saxon;x    
spanish;Castilian;x 
swiss;High Alemannic;x 
north_italian;Lombard;x 
south_italian;Neapolitan;x
